baseMean	log2FoldChange	lfcSE	pvalue	padj
MSTA-int	757.33726631483	-0.351311553097414	0.113162861638689	0.000450881989407362	0.01700386734267
L1HS	460.122573388313	0.432965711842306	0.147268256904818	0.00051859586100981	0.0174840890283307
MLT1H1	126.753052683691	0.65541125942548	0.270567612046548	0.00109660363250848	0.0352906987189093
L1P4a	34.9379724695198	-1.1000013181201	0.561706787285835	0.00181095716763788	0.0557459858559834
LTR10F	32.7172047712263	-1.1278482643326	0.590977220378885	0.00195639868987354	0.0577137613512694
MER101-int	123.083382805748	-0.649226727320854	0.302873470578393	0.00210065045708285	0.0594904209445864
LTR5A	116.867369488148	0.593214874014861	0.278466790351286	0.00249558423527598	0.067956678406746
LTR6A	64.7723418853829	0.731126018080285	0.391499050255794	0.00309707649078263	0.0756113846715209
MER31B	61.4773824783055	-0.759483364071375	0.411738173425099	0.00306774804392524	0.0756113846715209
PRIMA41-int	37.9115475771458	0.949840569527255	0.544440926424388	0.00290814853419051	0.0756113846715209
LTR24	28.7680244869508	0.994554215342327	0.66909868724531	0.00405646827350359	0.0957326512546847
L1MA4A	684.295993947748	0.290763957495013	0.118146104613548	0.00431794198298389	0.0986162233533094
SVA_E	201.531973584338	0.43454137278741	0.20522145087285	0.0045125577640252	0.0998403405290575
L1MC5	1276.62874977348	-0.225402772337707	0.0888973901357935	0.00518808256089269	0.111307953124607
LTR53-int	79.6911106257272	0.59613849376545	0.36011407879845	0.0058753256417123	0.122345016303891
MLT1A1-int	31.5487619046457	-0.859316791196434	0.714979655870232	0.0061576914425402	0.124561301180527
L1MA9	787.484035209263	-0.257043378171279	0.109593135380071	0.00716030559850814	0.140819343437327
THE1B-int	649.870575155262	0.283380437469481	0.127697787383139	0.00831086381775697	0.159029502242485
MER67C	145.637907257558	0.44212828081292	0.250544616080089	0.00860814452349928	0.160383324279934
Tigger4b	392.772279419965	-0.305670561754323	0.147361350176554	0.00997959850147491	0.181168095872929
SVA_B	296.076100339951	-0.32872665811211	0.166353907169811	0.0106625067690556	0.188726369812284
AluYb8	425.616438036947	-0.472621545951769	0.356662364938032	0.0128596861385924	0.221132536967729
LTR19-int	57.687027205578	-0.518986944450741	0.462597547938654	0.0131180318540178	0.221132536967729
MER21-int	70.1995181245359	0.461047384682108	0.397397155799586	0.016165303505619	0.266163601906471
HAL1	1682.02687202914	-0.17577888141958	0.0803567720856334	0.0175900819498425	0.27529394427962
LTR13A	76.5073327258818	0.434501541470401	0.355627314445213	0.0175882311648088	0.27529394427962
MER4-int	156.462225150916	0.365145904512636	0.234685200339508	0.0178863297130826	0.27529394427962
L1PA14	218.954545775036	-0.331123506219309	0.197953268010404	0.0183788236007309	0.27685547041101
AluYb9	140.821954849212	-0.032947131538615	0.213727075002362	0.0199936278185213	0.29490601032319
MER34	93.9493877837938	0.394934873516353	0.3147208769862	0.0211017933299867	0.304899381176134
L1MEd	1245.28067547294	0.181942283152883	0.0891462143696886	0.0242074605024561	0.342777640714778
L1MD1	543.219367391471	0.230365578303676	0.126032970279008	0.0279500622512891	0.388012628900249
AluSp	5437.47452717726	-0.123726893959474	0.0601714195599449	0.0312969713220744	0.399607107205981
LTR28C	120.084406896619	-0.0466280325834019	0.217113682410524	0.0312206789151907	0.399607107205981
LTR9B	26.3642283972811	-0.219857297235518	0.361530694569638	0.0316073418129024	0.399607107205981
MER11B	79.7216701332399	-0.352597359495181	0.328222458288012	0.0301109106384799	0.399607107205981
MER44B	139.634704441635	-0.323194985372427	0.237271639316306	0.0298214275678861	0.399607107205981
Tigger1	1520.47262191978	-0.161429258481855	0.0827093948739823	0.0331522873620471	0.411786306181216
L1PA10	732.62508163096	0.198351822515366	0.107723951470179	0.0340398888612309	0.414721452141593
MLT1F1	203.256161550927	-0.282554673782043	0.191056153632351	0.0345601210117994	0.414721452141593
L1MEi	276.343238251102	-0.261485085287945	0.169582736664367	0.0369605812740159	0.428985107245955
UCON132b	24.7436657356841	-0.196780432897929	0.328770986087432	0.0364713045366461	0.428985107245955
L1ME3D	202.603009436237	-0.270536795060295	0.192615487821696	0.0417692870826492	0.454904076244634
L1PA15	407.050303407937	-0.225874580662439	0.140980417814118	0.0436913519556993	0.454904076244634
L1PA7	1350.85580744	0.164542860144235	0.0892248827783725	0.0412814701097072	0.454904076244634
LTR45B	56.0036636749189	0.0380223902986059	0.214715975441074	0.0420343792999263	0.454904076244634
MER33	632.561152742343	-0.199246471992075	0.114477126140044	0.0409794206819366	0.454904076244634
MER66B	110.581790065332	-0.299186607957061	0.261810882165817	0.0428066278500154	0.454904076244634
MLT1G	104.098309379538	-0.299891571975083	0.269541468475306	0.0432005410734617	0.454904076244634
L1PA3	2358.23871839566	0.146529960378053	0.0793195576176631	0.0454360816826495	0.45955351187594
MER63D	68.6081976014256	0.290605182772947	0.344292073508781	0.0449599678576978	0.45955351187594
AluYi6	59.8359902569174	-0.283505674655922	0.339945538103051	0.0467325427543943	0.46600901788889
HERV9NC-int	166.94054302606	-0.274625799512127	0.220769368721997	0.0482878394455465	0.468325894896533
MER57E1	18.8634151904925	0.151678245709705	0.27796960838607	0.0477459706674138	0.468325894896533
HERVK-int	191.03285396566	0.25261229136827	0.191888840335736	0.0540337198194851	0.503366758318361
L1MC4a	756.281895299307	0.179996647117109	0.107212295406972	0.0527873892305145	0.503366758318361
MLT2A1	192.253894740549	-0.254014363435602	0.194228540941199	0.0536800049766753	0.503366758318361
MLT2F	91.3160954208389	0.264720382809814	0.268211774068241	0.060114658472953	0.552742574011048
LTR25	103.478479715076	-0.248083097379059	0.258570002209297	0.0694641330645935	0.629542936831917
PRIMA4-int	118.731732920577	0.24657402612937	0.234527473989782	0.0702456101832223	0.629542936831917
Charlie7	148.285149531834	0.236972459087806	0.208152578004432	0.0731675529487979	0.640294071953414
L1MC2	359.342181789257	-0.198379725914195	0.140537307810592	0.0732539828082295	0.640294071953414
LTR40A1	39.7957593100236	-0.186637217422252	0.287470374953778	0.077111201861421	0.665789401437635
L1MA4	466.460196994908	-0.181703020983184	0.125458725421158	0.0781901028161652	0.666970997516204
MLT1B	696.813035417937	-0.165594593054637	0.110850496948554	0.080901543098823	0.68188443469008
AluSx1	11303.4345929536	-0.104844936912808	0.0638028321688751	0.0836670262550311	0.68963818914771
AluYj4	372.539254407495	-0.0768274239803188	0.226217464549561	0.0915621324574643	0.68963818914771
Charlie1b	171.546668334551	-0.218135286149551	0.199626433317265	0.089126285376417	0.68963818914771
L1ME2	929.95998485704	0.154789152467424	0.104534843537846	0.0888768219501407	0.68963818914771
L1MEb	170.727713864898	-0.215827696711038	0.191408694951559	0.0889230079520101	0.68963818914771
L1PA16	643.138307143986	-0.159920739654323	0.110752125791337	0.0913944268883022	0.68963818914771
MLT1A	375.238111741894	0.184353724773766	0.137121653765321	0.0905534916165115	0.68963818914771
MLT1N2	170.955378533041	-0.217007580044691	0.192394339001976	0.087899566673629	0.68963818914771
PABL_B-int	19.5876330025819	-0.119211337791501	0.246757692303919	0.0889586594998765	0.68963818914771
THE1B	815.667621553371	0.159968493077634	0.109686127336282	0.0895016148290659	0.68963818914771
MER106A	33.9187423597429	-0.161121377584044	0.266126274465695	0.0962471293043849	0.709822578619839
MSTC-int	17.1858649616809	0.116257895571912	0.244304031030079	0.0960242988284773	0.709822578619839
MER9a2	31.8484636038275	-0.154621406462972	0.262231766098394	0.0995042247491602	0.72627825899387
Ricksha_b	23.7555724849524	0.134669735371336	0.252742331772981	0.101659386441107	0.734437200003099
AluY	9313.86027121279	-0.0867837775706248	0.0571102605210581	0.113580771981384	0.79644382645533
LTR12	41.3495811637891	-0.163886566061394	0.258628237883417	0.113616986542356	0.79644382645533
