Cobi_24_1_S54.k100.bam.T	Cobi_24_2_S55.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
MER106A	55	49	69	83
MER106B	61	66	72	66
MER107	52	64	62	54
MER110-int	33	27	28	33
MER110	59	53	32	41
MER110A	28	23	43	42
MER112	418	346	418	484
MER113	250	274	300	328
MER113A	154	133	152	169
MER113B	34	29	26	47
MER115	162	162	181	188
MER117	260	279	330	318
MER119	175	195	169	219
MER11A	177	202	215	228
MER11B	172	146	232	203
MER11C	275	250	280	303
MER11D	42	29	36	36
MER121	25	26	21	23
MER121B	2	3	1	3
MER125	12	5	3	10
MER126	14	16	23	26
MER127	5	2	8	3
MER130	8	10	5	9
MER132	3	0	0	1
MER135	33	40	27	28
MER1A	405	483	574	524
MER1B	653	603	787	725
MER20	1730	1696	2098	2126
MER20B	371	345	374	457
MER21-int	147	178	121	123
MER21A	356	364	452	445
MER21B	525	510	593	672
MER21C	837	826	984	978
MER2	1481	1231	1547	1870
MER2B	137	143	158	188
MER30	533	518	600	688
MER30B	19	20	24	29
MER31-int	124	137	116	172
MER31A	154	145	142	164
MER31B	123	110	187	193
MER33	935	905	1103	1248
MER34-int	29	27	30	38
MER34	171	181	161	198
MER34A1	99	90	107	106
MER34A	88	90	127	121
MER34B-int	120	110	88	135
MER34B	51	48	55	73
MER34C2	96	83	75	91
MER34C	4	3	3	17
MER34C_	66	51	61	68
MER34D	20	8	25	17
MER39	231	243	241	280
MER39B	113	118	143	118
MER3	1036	1024	1136	1262
MER4-int	308	239	279	331
MER41-int	341	314	241	284
MER41A	288	287	250	289
MER41B	306	317	240	251
MER41C	41	32	34	38
MER41D	52	62	52	70
MER41E	26	33	36	26
MER41G	15	25	22	27
MER44A	257	257	279	312
MER44B	197	228	295	293
MER44C	139	114	143	175
MER44D	65	61	92	93
MER45A	171	164	176	166
MER45B	71	87	69	77
MER45C	72	63	77	84
MER45R	12	15	24	21
MER46C	404	419	448	513
MER47A	316	272	335	401
MER47B	69	50	55	60
MER47C	57	55	50	79
MER48	12	9	19	11
MER49	238	207	236	227
MER4A1	207	215	291	282
MER4A1_	35	29	28	46
MER4A	102	125	171	140
MER4B-int	105	89	124	129
MER4B	117	133	152	140
MER4C	71	68	58	62
MER4CL34	67	65	59	77
MER4D0	28	45	39	53
MER4D1	146	156	171	158
MER4D	112	96	118	112
MER4E1	145	131	127	131
MER4E	76	90	83	94
MER50-int	63	48	55	62
MER50	188	186	189	183
MER50B	53	51	49	58
MER50C	8	8	10	6
MER51-int	51	41	56	88
MER51A	99	110	114	147
MER51B	77	79	76	81
MER51C	30	34	52	37
MER51D	8	13	11	10
MER51E	11	19	11	14
MER52-int	13	6	10	10
MER52A	198	224	297	259
MER52C	30	38	53	62
MER52D	34	45	64	58
MER53	275	270	273	308
MER54A	90	83	104	139
MER54B	22	21	28	28
MER57-int	140	131	170	216
MER57A-int	116	95	122	122
MER57A1	55	60	81	93
MER57B1	51	63	72	68
MER57B2	44	40	58	69
MER57C1	4	7	11	8
MER57C2	12	19	20	22
MER57D	18	22	41	38
MER57E1	43	41	43	43
MER57E2	1	4	9	9
MER57E3	46	30	42	33
MER57F	17	21	26	28
MER58A	1158	1264	1458	1580
MER58B	735	701	809	993
MER58C	256	239	297	335
MER58D	105	100	125	147
MER5A1	966	951	1167	1207
MER5A	2636	2556	2884	3054
MER5B	1646	1750	1964	2095
MER5C1	53	53	80	72
MER5C	75	78	110	141
MER61-int	147	142	149	185
MER61A	30	51	78	68
MER61B	19	27	22	16
MER61C	9	11	10	16
MER61D	19	16	25	20
MER61E	15	14	33	28
MER61F	9	9	9	4
MER63A	176	179	188	163
MER63B	177	174	168	174
MER63C	84	79	94	94
MER63D	119	103	69	87
MER65-int	125	110	95	121
MER65A	129	125	144	133
MER65B	13	16	10	10
MER65C	65	54	52	48
MER65D	31	41	30	47
MER66-int	51	43	54	54
MER66A	31	38	41	30
MER66B	138	113	180	174
MER66C	50	41	49	40
MER66D	10	13	13	18
MER67A	54	33	46	67
MER67B	101	96	93	91
MER67C	171	181	108	147
MER67D	18	13	26	36
MER68-int	34	34	46	54
MER68	307	306	469	492
MER68B	74	81	113	103
MER68C	2	3	10	6
MER6	146	158	158	156
MER6A	111	110	120	136
MER6B	42	55	65	72
MER6C	5	5	12	9
MER70-int	45	62	66	64
MER70A	19	23	27	24
MER70B	12	11	16	18
MER70C	11	11	6	13
MER72	45	47	68	85
MER72B	6	9	11	9
MER73	18	19	25	20
MER74A	123	141	153	140
MER74B	113	103	134	126
MER74C	7	8	8	2
MER75	29	27	38	39
MER75B	6	7	3	4
MER76-int	11	20	9	3
MER76	29	34	42	38
MER77	210	223	256	248
MER77B	125	103	122	128
MER81	155	186	211	224
MER83	35	34	51	49
MER83A-int	12	4	12	9
MER83B-int	23	15	34	41
MER83B	13	17	19	25
MER83C	1	2	6	5
MER84-int	4	3	2	8
MER84	12	24	14	19
MER85	82	66	86	106
MER87	6	7	5	11
MER87B	26	20	22	18
MER88	4	7	6	16
MER89-int	49	47	87	76
MER89	116	90	118	133
MER8	216	221	256	268
MER90	76	55	55	73
MER90a	138	164	179	186
MER91A	254	240	264	252
MER91B	125	113	117	112
MER91C	94	83	130	121
MER92-int	80	74	108	108
MER92A	10	4	5	3
MER92B	148	142	161	163
MER92C	6	10	4	6
MER92D	15	12	14	20
MER94	300	278	319	350
MER94B	30	37	34	30
MER95	11	15	14	21
MER96	71	75	73	71
MER96B	122	138	137	166
MER97a	14	4	13	12
MER97b	5	10	7	3
MER97c	20	13	14	24
MER97d	21	29	22	11
MER99	22	37	36	36
MER9B	13	7	5	3
MER9a1	44	27	48	49
MER9a2	66	48	73	92
MER9a3	91	92	103	104
MERX	38	37	48	47
MIR1_Amn	1091	1089	1298	1328
MIR3	7455	7019	8393	8643
MIR	15096	14638	16568	18166
MIRb	19684	18712	21923	23408
MIRc	8449	8024	9244	10042
MLT-int	31	26	29	29
MLT1-int	24	17	12	18
MLT1A-int	38	34	32	46
MLT1A0-int	77	68	60	64
MLT1A0	1189	1219	1451	1410
MLT1A1-int	49	50	81	80
MLT1A1	463	448	529	591
MLT1A	651	648	723	725
MLT1B-int	104	85	103	94
MLT1B	1314	1327	1595	1597
MLT1C-int	54	51	67	58
MLT1C	1776	1742	1998	2108
MLT1D-int	87	68	94	115
MLT1D	1677	1680	2045	2076
MLT1E1	73	61	66	84
MLT1E1A-int	14	15	16	12
MLT1E1A	215	237	282	251
MLT1E2-int	28	26	38	31
MLT1E2	458	448	463	457
MLT1E3-int	7	5	3	10
MLT1E3	146	154	162	209
MLT1E	40	34	39	39
MLT1F-int	39	49	52	73
MLT1F1-int	31	19	22	16
MLT1F1	338	323	415	428
MLT1F2-int	27	33	27	18
MLT1F2	577	652	668	636
MLT1F	413	366	473	566
MLT1G-int	30	26	27	36
MLT1G1-int	31	22	30	29
MLT1G1	240	241	269	247
MLT1G3-int	9	13	5	8
MLT1G3	337	335	332	362
MLT1G	261	289	279	292
MLT1H-int	79	73	66	75
MLT1H1-int	16	13	22	27
MLT1H1	290	306	288	282
MLT1H2-int	31	22	22	30
MLT1H2	258	249	257	299
MLT1H	591	612	699	723
MLT1I-int	61	68	88	78
MLT1I	478	537	621	717
MLT1J-int	58	49	61	85
MLT1J1-int	13	17	30	28
MLT1J1	187	200	230	247
MLT1J2-int	20	29	37	26
MLT1J2	326	351	420	398
MLT1J	1246	1129	1401	1476
MLT1K-int	9	5	5	6
MLT1K	1268	1294	1395	1531
MLT1L-int	6	5	0	3
MLT1L	775	713	801	812
MLT1M	199	175	199	201
MLT1N2-int	3	2	6	9
MLT1N2	234	231	326	347
MLT1O	365	353	396	389
MLT2A1	260	232	336	338
MLT2A2	169	195	218	229
MLT2B1	183	207	205	215
MLT2B2	78	99	105	105
MLT2B3	299	242	310	317
MLT2B4	293	248	382	368
MLT2B5	7	5	15	12
MLT2C1	108	120	137	120
MLT2C2	64	79	97	90
MLT2D	196	211	267	214
MLT2E	20	16	18	18
MLT2F	161	157	147	130
MST-int	11	19	21	15
MSTA-int	640	688	919	951
MSTA1	32	26	17	37
MSTA	1307	1195	1550	1580
MSTB-int	141	132	153	155
MSTB1-int	23	27	37	36
MSTB1	279	279	353	406
MSTB2-int	5	5	4	3
