TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
LTR46-int	20	13	22	21
LTR46	26	21	35	26
LTR47A2	19	10	28	17
LTR47A	66	77	86	90
LTR47B2	18	7	22	16
LTR47B3	18	28	25	31
LTR47B4	20	27	32	29
LTR47B	1	1	6	7
LTR48	66	63	71	87
LTR48B	93	74	114	128
LTR49-int	107	106	137	115
LTR49	102	96	145	140
LTR4	13	3	14	13
LTR50	151	139	237	206
LTR51	22	25	34	40
LTR52-int	27	23	37	39
LTR52	55	44	85	81
LTR53-int	55	39	73	56
LTR53	33	52	70	57
LTR53B	7	8	7	6
LTR54	59	59	98	106
LTR54B	52	52	79	72
LTR55	23	24	41	29
LTR56	84	71	125	103
LTR57-int	73	71	93	134
LTR57	33	23	33	30
LTR58	0	2	0	2
LTR59	7	5	11	12
LTR5A	193	175	182	218
LTR5B	133	108	172	147
LTR5_Hs	283	272	351	341
LTR60	6	4	7	10
LTR60B	5	18	11	12
LTR61	81	59	58	71
LTR62	33	26	32	38
LTR64	46	30	43	62
LTR65	45	49	65	62
LTR66	23	32	25	23
LTR67B	241	204	276	280
LTR68	5	6	4	16
LTR69	9	9	12	14
LTR6A	70	59	75	77
LTR6B	19	21	29	38
LTR70	25	24	19	16
LTR71A	24	16	23	20
LTR71B	17	9	38	27
LTR72	16	15	19	24
LTR72B	2	14	10	6
LTR73	14	14	24	31
LTR75	65	62	65	74
LTR75B	7	7	7	7
LTR75_1	15	13	12	14
LTR76	226	196	175	220
LTR77	2	3	6	8
LTR78	228	197	305	294
LTR78B	136	135	181	193
LTR79	244	180	265	320
LTR7	1194	1292	987	1187
LTR7A	1	0	0	2
LTR7B	134	126	147	115
LTR7C	45	45	43	66
LTR7Y	4466	4255	3922	4327
LTR80A	18	13	19	26
LTR80B	16	17	13	13
LTR81	7	9	13	10
LTR81A	21	30	27	40
LTR81AB	6	8	7	9
LTR81B	25	22	47	56
LTR81C	10	13	24	22
LTR82A	60	68	83	85
LTR82B	233	239	308	324
LTR83	46	40	45	48
LTR84a	30	40	56	47
LTR84b	59	57	68	87
LTR85a	59	63	76	73
LTR85b	42	28	52	67
LTR85c	46	32	47	70
LTR86A1	86	77	97	82
LTR86A2	21	22	30	33
LTR86B1	13	9	25	14
LTR86B2	21	4	12	13
LTR86C	13	10	14	16
LTR87	98	114	163	153
LTR88a	33	32	29	39
LTR88b	41	41	68	70
LTR88c	29	19	41	28
LTR89	73	64	85	72
LTR8	360	345	493	504
LTR8A	158	130	205	198
LTR8B	145	136	173	161
LTR90A	28	25	30	34
LTR90B	20	14	27	27
LTR91	8	4	4	5
LTR9	29	33	49	51
LTR9A1	35	38	43	54
LTR9B	88	81	97	104
LTR9C	8	9	10	14
LTR9D	57	53	76	68
Looper	101	97	99	142
MADE1	231	187	223	254
MADE2	142	104	137	156
MARNA	335	301	309	421
MER101-int	241	240	234	280
MER101	23	6	19	30
MER101B	2	3	10	16
MER102a	267	278	338	334
MER102b	394	337	464	507
MER102c	275	247	323	396
MER103C	644	615	731	798
MER104	198	186	193	275
MER105	101	134	168	160
MER106A	62	61	69	83
MER106B	64	66	72	66
MER107	46	58	62	54
MER110-int	34	27	28	33
MER110	33	43	32	41
MER110A	28	22	43	42
MER112	411	359	418	484
MER113	227	194	300	328
MER113A	111	101	152	169
MER113B	25	24	26	47
MER115	116	111	181	188
MER117	253	248	330	318
MER119	172	154	169	219
MER11A	156	135	215	228
MER11B	140	124	232	203
MER11C	238	227	280	303
MER11D	27	26	36	36
MER121	27	16	21	23
MER121B	1	2	1	3
MER125	5	6	3	10
MER126	20	29	23	26
MER127	2	0	8	3
MER130	7	13	5	9
MER135	26	23	27	28
MER1A	428	426	574	524
MER1B	561	493	787	725
MER20	1714	1545	2098	2126
MER20B	360	279	374	457
MER21-int	102	70	121	123
MER21A	364	280	452	445
MER21B	536	424	593	672
MER21C	882	700	984	978
MER2	1551	1342	1547	1870
MER2B	138	109	158	188
MER30	566	464	600	688
MER30B	11	12	24	29
MER31-int	116	124	116	172
MER31A	121	114	142	164
MER31B	183	164	187	193
MER33	1005	934	1103	1248
MER34-int	26	17	30	38
MER34	161	131	161	198
MER34A1	93	90	107	106
MER34A	82	85	127	121
MER34B-int	101	98	88	135
MER34B	49	38	55	73
MER34C2	94	79	75	91
MER34C	3	8	3	17
MER34C_	59	48	61	68
MER34D	9	14	25	17
MER39	231	185	241	280
MER39B	96	99	143	118
MER3	1050	908	1136	1262
MER4-int	263	211	279	331
MER41-int	206	195	241	284
MER41A	207	153	250	289
MER41B	188	188	240	251
MER41C	41	27	34	38
MER41D	38	52	52	70
MER41E	44	41	36	26
MER41G	17	10	22	27
MER44A	232	227	279	312
MER44B	243	233	295	293
MER44C	166	109	143	175
MER44D	62	63	92	93
MER45A	133	103	176	166
MER45B	88	86	69	77
MER45C	84	78	77	84
MER45R	21	14	24	21
MER46C	386	364	448	513
MER47A	316	308	335	401
MER47B	40	42	55	60
MER47C	46	44	50	79
MER48	12	7	19	11
MER49	158	168	236	227
MER4A1	227	198	291	282
MER4A1_	33	33	28	46
MER4A	149	106	171	140
MER4B-int	79	83	124	129
MER4B	148	115	152	140
MER4C	36	45	58	62
MER4CL34	54	60	59	77
MER4D0	25	22	39	53
MER4D1	151	116	171	158
MER4D	107	87	118	112
MER4E1	120	111	127	131
MER4E	77	66	83	94
MER50-int	50	42	55	62
MER50	165	117	189	183
MER50B	42	37	49	58
MER50C	8	6	10	6
MER51-int	62	32	56	88
MER51A	97	64	114	147
MER51B	77	74	76	81
MER51C	30	40	52	37
MER51D	16	11	11	10
MER51E	12	9	11	14
MER52-int	13	16	10	10
MER52A	201	187	297	259
MER52C	47	47	53	62
MER52D	32	40	64	58
MER53	209	182	273	308
MER54A	108	107	104	139
MER54B	27	29	28	28
MER57-int	169	144	170	216
MER57A-int	93	96	122	122
MER57A1	29	46	81	93
MER57B1	53	48	72	68
MER57B2	42	35	58	69
MER57C1	4	9	11	8
MER57C2	28	19	20	22
MER57D	18	17	41	38
MER57E1	49	35	43	43
MER57E2	7	9	9	9
MER57E3	29	26	42	33
MER57F	23	23	26	28
MER58A	1260	1163	1458	1580
MER58B	786	700	809	993
MER58C	295	248	297	335
MER58D	111	94	125	147
MER5A1	1007	816	1167	1207
MER5A	2306	2210	2884	3054
MER5B	1617	1472	1964	2095
MER5C1	41	54	80	72
MER5C	130	100	110	141
MER61-int	127	113	149	185
MER61A	63	35	78	68
MER61B	20	13	22	16
MER61C	13	8	10	16
MER61D	20	15	25	20
MER61E	36	22	33	28
MER61F	8	3	9	4
MER63A	149	135	188	163
MER63B	140	94	168	174
MER63C	110	71	94	94
MER63D	80	81	69	87
MER65-int	81	83	95	121
MER65A	133	96	144	133
MER65B	12	10	10	10
MER65C	72	46	52	48
MER65D	24	31	30	47
MER66-int	39	42	54	54
MER66A	27	21	41	30
MER66B	116	117	180	174
MER66C	23	32	49	40
MER66D	5	4	13	18
MER67A	35	40	46	67
MER67B	66	59	93	91
MER67C	104	131	108	147
MER67D	30	23	26	36
MER68-int	37	25	46	54
MER68	372	311	469	492
MER68B	93	70	113	103
MER68C	2	1	10	6
MER6	129	125	158	156
MER6A	95	92	120	136
MER6B	65	46	65	72
MER6C	11	7	12	9
MER70-int	45	52	66	64
MER70A	27	19	27	24
MER70B	14	8	16	18
MER70C	8	9	6	13
MER72	67	57	68	85
MER72B	12	7	11	9
MER73	17	27	25	20
MER74A	109	103	153	140
MER74B	105	85	134	126
MER74C	8	3	8	2
MER75	40	35	38	39
MER75A	2	2	1	0
MER75B	1	1	3	4
MER76-int	7	8	9	3
MER76	28	15	42	38
MER77	192	170	256	248
MER77B	108	99	122	128
MER81	162	157	211	224
MER83	37	28	51	49
MER83A-int	3	8	12	9
MER83B-int	33	24	34	41
MER83B	25	11	19	25
MER83C	9	4	6	5
MER84-int	1	3	2	8
MER84	16	13	14	19
MER85	71	88	86	106
MER87	10	7	5	11
MER87B	16	12	22	18
MER88	8	7	6	16
MER89-int	85	78	87	76
MER89	98	89	118	133
MER8	237	193	256	268
MER90	50	39	55	73
MER90a	143	138	179	186
MER91A	218	195	264	252
MER91B	90	76	117	112
MER91C	90	99	130	121
MER92-int	104	71	108	108
MER92A	4	3	5	3
MER92B	158	117	161	163
MER92C	2	3	4	6
MER92D	16	13	14	20
MER94	284	278	319	350
MER94B	26	28	34	30
MER95	17	24	14	21
MER96	66	51	73	71
MER96B	113	83	137	166
MER97a	11	12	13	12
MER97b	4	2	7	3
MER97c	16	9	14	24
MER97d	22	12	22	11
MER99	27	16	36	36
MER9B	1	8	5	3
MER9a1	27	33	48	49
MER9a2	77	82	73	92
MER9a3	83	98	103	104
MERX	34	31	48	47
MIR1_Amn	1046	931	1298	1328
MIR3	7058	6276	8393	8643
MIR	14536	12915	16568	18166
MIRb	18879	17070	21923	23408
MIRc	8040	7264	9244	10042
MLT-int	29	17	29	29
MLT1-int	10	24	12	18
MLT1A-int	26	22	32	46
MLT1A0-int	46	35	60	64
MLT1A0	1175	973	1451	1410
MLT1A1-int	60	48	81	80
MLT1A1	457	428	529	591
MLT1A	591	553	723	725
MLT1B-int	86	66	103	94
