Cobi_24_1_S54.k100.bam.T	Cobi_24_2_S55.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
Charlie7a	136.94682222791	109.788176901583	111.817193292073	133.754555558347
Charlie8	265.334468066575	291.6595002537	300.390256555824	271.908932023219
Charlie9	120.898366498076	128.640692127107	130.769259951747	131.994627195737
Cheshire	154.065175006398	131.96760657867	136.454879949649	164.553301904019
DNA1_Mam	8.55917638924435	15.5256007739612	8.52842999685305	12.3194985382688
ERV24B_Prim-int	23.537735070422	28.8332585802137	18.9520666596735	32.5586747082818
ERV24_Prim-int	49.215264238155	33.2691445156312	24.6376866575755	29.0388179830622
ERV3-16A3_I-int	515.690377451972	558.921627862603	504.124973147314	387.184239774162
ERV3-16A3_LTR	57.7744406273994	72.0831464505342	73.9130599727265	66.8772777791735
ERVL-B4-int	430.098613559529	500.146139218322	462.430426496032	390.704096499382
ERVL-E-int	744.648345864258	748.555751601701	733.444979729363	650.293529984332
ERVL-int	73.8228963572325	75.4100609020973	88.1271099674816	110.875486844419
ERVL47-int	4.27958819462217	5.54485741927186	10.4236366628204	4.39982090652457
Eulor11	1.06989704865554	1.10897148385437	0.947603332983673	2.63989254391474
Eulor8	0	3.32691445156312	7.58082666386938	4.39982090652457
Eulor9A	1.06989704865554	4.43588593541749	4.73801666491836	2.63989254391474
Eulor9B	1.06989704865554	1.10897148385437	1.89520666596735	1.75992836260983
Eulor9C	3.20969114596663	5.54485741927186	0.947603332983673	5.27978508782949
FAM	579.884200371305	562.248542314166	565.719189791253	554.377434222096
FLAM_A	1558.83999989113	1517.07298991278	1616.61128607015	1618.25412941974
FLAM_C	3262.11610135075	3234.8698184032	3056.96835220533	3258.5073633721
FRAM	815.261551075524	890.50410153506	852.842999685305	867.644682766646
FordPrefect	41.7259848975662	55.4485741927186	90.9699199664326	73.0370270483079
FordPrefect_a	10.6989704865554	6.65382890312623	7.58082666386938	11.4395343569639
HAL1	3309.1915714916	3301.40810743446	3324.19249210672	3452.97944744048
HAL1M8	347.716540813052	352.65293186569	406.521829849996	397.743809949821
