baseMean	log2FoldChange	lfcSE	pvalue	padj
ERV24_Prim-int	18.7277228667436	-0.00406246248992662	0.0581882628488849	0.452409202132525	0.999642617610237
ERV3-16A3_I-int	337.908393427707	0.00862823057680291	0.0557551118593604	0.637717836566434	0.999642617610237
ERV3-16A3_LTR	24.083352922293	-0.00141844903003149	0.0579237303753451	0.816835392678494	0.999642617610237
ERVL-B4-int	133.153633494028	-0.00811540499686653	0.057321903490523	0.550791714783466	0.999642617610237
ERVL-E-int	316.827489285017	-0.0106913707295783	0.0559634830766606	0.568522185090255	0.999642617610237
ERVL-int	11.1929881066828	0.00219672540155033	0.0581404496868068	0.603459774754336	0.999642617610237
ERVL47-int	4.18181419490092	-0.000293646157211405	0.0581715607753228	0.91021635394844	0.999642617610237
Eulor11	0.854681321216509	-0.00111893098536984	0.0582417349628065	0.303838204460788	0.999642617610237
Eulor8	3.18819954990808	-0.00209072002877332	0.0582488718499999	0.334711838527976	0.999642617610237
Eulor9A	2.43981217713822	-0.000284155854712138	0.0581981090013105	0.885804949360639	0.999642617610237
Eulor9B	1.38123078216558	-0.00112448884869022	0.0582307710692176	0.429528773082318	0.999642617610237
FAM	352.611431053351	-0.000987540237038254	0.0544388056915858	0.96350605369216	0.999642617610237
FLAM_A	1118.47520807319	0.0139826211819227	0.0519342912441325	0.590132981648324	0.999642617610237
FLAM_C	2671.20586513376	0.0402252486018178	0.0760445457070264	0.041690351570292	0.999642617610237
FRAM	563.705120354532	-0.0135328870129172	0.0547160246444859	0.547643316345067	0.999642617610237
FordPrefect	420.444845477509	0.0224678542249236	0.0591113100367907	0.302210076236958	0.999642617610237
FordPrefect_a	6.36213854627999	0.00105444068687401	0.0581611867271836	0.739929047190663	0.999642617610237
HAL1	1691.33673227278	-0.00112135245202049	0.0486065434997067	0.965471100877666	0.999642617610237
HAL1M8	252.948166121892	0.0337412225596446	0.068946032828969	0.0837815039374281	0.999642617610237
HAL1ME	538.303538344702	0.0153116133646613	0.0552512968138169	0.499116984042885	0.999642617610237
HAL1b	198.018045716712	-0.00130859171985856	0.0559587152446101	0.931094211044319	0.999642617610237
