TNF_24_1_S58.k100.bam.T	TNF_24_2_S59.k100.bam.T	UT_24_1_S52.k100.bam.C	UT_24_2_S53.k100.bam.C
L1M2b	6.44754200069135	3.62701690183426	3.58876883940609	10.0861323000581
L1M2c	32.2377100034567	38.6881802862321	47.5511871221307	42.8660622752467
L1M3	292.288570698008	286.534335244907	263.774509696348	289.976303626669
L1M3a	79.5196846751933	59.2412760632929	65.4950313191612	82.3700804504741
L1M3b	11.8204936679341	7.25403380366852	10.7663065182183	8.40511025004838
L1M3c	23.6409873358683	32.6431521165084	37.682072813764	26.05584177515
L1M3d	11.8204936679341	10.8810507055028	18.841036406882	13.4481764000774
L1M3de	16.1188550017284	6.04502816972377	9.86911430836675	9.24562127505321
L1M3e	36.536071337251	29.0161352146741	47.5511871221307	36.9824851002129
L1M3f	87.0418170093332	93.093433813746	87.9248365654492	110.106944275634
L1M4	1456.0699018228	1459.26980017132	1305.41466533397	1432.23078660824
L1M4a1	124.652478680033	113.646529590807	100.485527503371	120.193076575692
L1M4a2	106.384443011407	81.0033774742985	95.1023742442614	86.5726355754983
L1M4b	415.866459044592	464.258163434785	453.082065975019	451.354420427598
L1M4c	195.575440687637	204.321952136663	232.372782351544	223.575932651287
L1M5	3239.8898553474	2957.22778062887	2775.01550507076	3115.77436969293
L1M6	193.42626002074	178.932833823824	163.288982192977	169.783227050977
L1M6B	249.304957360065	226.084053547669	279.026777263824	247.110241351422
L1M7	146.144285349004	122.10956902842	161.494597773274	156.3350506509
L1M8	150.442646682798	143.871670439426	119.326563910253	128.59818682574
L1M	17.1934453351769	29.0161352146741	16.1494597773274	22.6937976751306
L1MA10	119.27952701279	130.572608466033	113.046218441292	126.91716477573
L1MA1	333.123003369053	345.7756113082	405.530878852888	350.493097427017
L1MA2	425.537772045629	390.508819764155	451.287681555316	429.501133777472
L1MA3	551.26484105911	460.631146532951	494.352907628189	541.289100103115
L1MA4	511.504998721513	525.917450765968	478.203447850862	473.207707077724
L1MA4A	584.577141396015	575.486681757703	562.539515576905	577.431074178323
L1MA5	386.852520041481	346.984616942144	350.802154051945	372.346384077143
L1MA5A	175.158224352115	183.768856359603	160.597405563423	169.783227050977
L1MA6	270.796764029037	220.039025377945	188.41036406882	237.024109051364
L1MA7	280.468077030074	244.21913805684	257.494164227387	258.87739570149
L1MA8	301.959883699045	311.923453557746	335.549886484469	318.553678476833
L1MA9	818.837834087801	783.4356507962	837.080331791471	801.00700682961
L1MB1	205.246753688675	206.739963404553	183.924403019562	216.011333426243
L1MB2	594.248454397052	523.499439498078	522.165866133586	530.362456778053
L1MB3	1200.31740246204	1213.84165648053	1195.95721573208	1208.65485395696
L1MB4	945.639493434731	973.249535325527	820.033679804292	927.924171605341
L1MB5	738.243559079159	708.477301491626	668.408196339384	678.292397178904
L1MB7	2194.31346090195	2145.98500025194	1972.9256694635	2108.84216173714
L1MB8	1299.17971313931	1297.26304522272	1161.86391175772	1264.96909263228
L1MC1	890.835386428854	848.721955029217	839.771908421025	830.42489270478
L1MC2	370.733665039752	373.582740888929	357.979691730758	382.432516377201
L1MC3	721.050113743982	747.165481777858	709.679037992554	748.89532327931
L1MC4	1730.09043685218	1860.65967064098	1701.97362208834	1913.00309291101
L1MC4a	693.11076507432	669.789121205394	637.903661204433	680.813930253918
L1MC5	1470.03957615763	1354.08631001812	1296.44274323545	1321.2833313076
L1MC5a	1813.90848286117	1954.96211008867	1431.91876692303	1766.75417456017
L1MC	241.782825025925	257.518200030233	219.812091413623	255.515351601471
L1MCa	252.528728360411	216.412008476111	248.522242128872	255.515351601471
L1MCb	49.4311553386337	47.1512197238454	57.4203014304974	52.9521945753048
L1MCc	96.7131300103702	84.6303943761328	110.354641811737	100.861323000581
L1MD1	508.281227721168	466.676174702675	445.904528296207	477.410262202748
L1MD2	816.688653420904	745.956476143913	802.089835607261	776.63218710447
L1MD3	429.836133379423	411.061915541216	373.231959298233	376.548939202167
L1MD	480.341879051505	447.332084559559	419.885954210513	476.569751177743
L1MDa	731.796017078468	677.043155009062	573.305822095123	603.486915953473
L1MDb	30.0885293365596	30.2251408486188	21.5326130364365	26.8963528001548
L1ME1	2153.47902823091	2110.92383686754	1962.15936294528	2065.13558843689
L1ME2	941.341132100937	923.680304333792	755.435840694982	883.377087280084
L1ME2z	340.645135703193	338.521577504531	339.138655323876	310.98907925179
L1ME3	548.041070058764	511.409383158631	514.091136244922	549.694210353164
L1ME3A	719.975523410534	771.345594456753	656.744697611315	746.373790204296
L1ME3B	591.024683396707	515.036400060465	524.857442763141	588.357717503386
L1ME3C	220.291018356954	178.932833823824	200.971055006741	205.08469010118
L1ME3Cz	551.26484105911	591.203754998985	495.250099838041	542.970122153125
L1ME3D	243.932005692823	239.383115521061	202.765439426444	231.981042901335
L1ME3E	231.03692169144	226.084053547669	199.176670587038	242.067175201393
L1ME3F	327.75005170181	320.38649299536	317.606042287439	332.842365901916
L1ME3G	966.056709770253	985.339591664974	837.080331791471	928.764682630346
L1ME4a	1474.33793749142	1455.64278326948	1258.76067042169	1487.70451425856
L1ME4b	1355.05841047863	1341.99625367868	1196.85440794193	1314.55924310757
L1ME4c	527.623853723242	512.618388792576	387.587034655858	526.159901653028
L1ME5	103.160672011062	83.421388742188	95.1023742442614	89.0941686505128
L1MEa	19.342626002074	8.46303943761328	15.2522675674759	13.4481764000774
L1MEb	155.815598350041	132.990619733923	175.849673130898	185.752936526069
L1MEc	1040.2034427782	978.085557861306	943.846204763802	1037.19060485597
L1MEd	1236.85347379929	1149.76435788146	1058.6868076248	1121.24170735645
L1MEf	613.591080399126	544.052535275139	574.203014304975	572.388008028294
L1MEg1	24.7155776693168	26.5981239467846	30.5045351349518	39.5040181752274
L1MEg2	19.342626002074	10.8810507055028	20.635420826585	16.8102205000968
L1MEg	698.483716741562	749.583493045747	632.520507945324	738.809190979252
L1MEh	95.6385396769216	101.556473251359	78.0557222570825	111.787966325643
L1MEi	323.451690368016	340.939588772421	270.95204737516	315.191634376814
L1MEj	147.218875682452	154.752721144928	172.260904291492	173.145271150997
L1P1	348.167268037333	321.595498629305	327.475156595806	284.93323747664
L1P2	147.218875682452	184.977861993547	181.232826390008	177.347826276021
L1P3	179.456585685909	189.813884529326	172.260904291492	170.623738075982
L1P3b	0	2.41801126788951	2.69157662955457	0.840511025004838
L1P4	140.771333681761	132.990619733923	124.709717169362	128.59818682574
L1P4a	16.1188550017284	16.9260788752266	44.8596104925761	52.1116835502999
L1P4b	2.14918066689712	2.41801126788951	1.79438441970305	2.52153307501451
L1P4d	7.5221323341399	4.83602253577901	8.0747298886637	3.36204410001935
L1P4e	5.37295166724279	1.20900563394475	8.0747298886637	4.20255512502419
L1P5	16.1188550017284	25.3891183128398	19.7382286167335	15.1291984500871
L1PA10	666.246006738106	629.891935285217	643.286814463542	625.340202603599
L1PA11	376.106616706995	412.270921175161	420.783146420364	359.738718702071
L1PA12	196.650031021086	198.27692396694	198.279478377187	177.347826276021
L1PA13	617.889441732921	610.547845142101	637.006468994581	521.957346528004
L1PA14	253.60331869386	241.801126788951	262.877317486496	215.170822401238
L1PA15-16	110.682804345201	111.228518322917	112.14902623144	104.2233671006
L1PA15	409.4189170439	356.656662013702	451.287681555316	395.040181752274
L1PA16	630.784525734303	564.6056310522	659.436274240869	637.107356953667
L1PA17	196.650031021086	141.453659171536	191.999132908226	168.102205000968
L1PA2	1122.94689845374	1043.37186209432	1147.5088364001	970.790233880587
L1PA3	2104.04787289228	2102.46079742993	2224.13948822192	1970.99835363634
L1PA4	1530.21663483075	1507.63002552911	1628.40386088051	1523.00597730877
L1PA5	1526.9928638304	1576.54334666396	1470.49803194665	1408.69647790811
L1PA6	1087.48541744994	1031.28180575487	1059.58399983465	974.992789005612
L1PA7	1211.06330579652	1218.67767901631	1256.06909379213	1125.44426248148
L1PA8	340.645135703193	316.759476093526	386.689842446006	332.842365901916
L1PA8A	171.934453351769	184.977861993547	195.587901747632	173.145271150997
L1PB1	1451.771540489	1496.74897482361	1466.90926310724	1390.205235358
L1PB2	112.831985012099	100.347467617415	135.47602368758	87.4131466005031
L1PB3	183.754947019703	199.485929600884	191.101940698374	184.071914476059
L1PB4	307.332835366287	281.698312709128	274.540816214566	297.540902851713
L1PB	84.8926363424361	101.556473251359	102.279911923074	84.0511025004838
L1PBa1	47.2819746717365	35.0611633843979	35.8876883940609	43.7065733002516
L1PBa	135.398382014518	103.974484519249	144.447945786095	140.365341175808
L1PBb	41.9090230044937	36.2701690183426	41.27084165317	25.2153307501451
L1PREC2	1086.41082711649	982.921580397085	1039.84577121791	951.458480305476
L2-1_AMi	27.9393486696625	49.5692309917349	26.9157662955457	41.185040225237
L2-1_Crp	2.14918066689712	0	5.38315325910914	0
L2-3_Crp	104.23526234451	82.2123831082433	64.5978391093096	73.9649702004257
L2	3569.78908771611	3622.18087929848	3534.04011460515	3568.80981217054
L2a	9965.75075240192	10019.0296885002	9452.81712299564	9696.97569548081
L2b	4901.20651085887	4857.78463719002	4917.5105021962	4659.79312262682
L2c	7248.11179911052	7354.38127128594	7209.83659836684	7294.79518601699
L3	2926.10947798042	2837.53622286834	2840.51053638992	2814.8714227412
L3b	685.58863274018	724.194374732907	686.352040536415	707.710283054073
L4_A_Mam	325.600871034913	402.598876103603	332.858309854915	361.41974075208
L4_B_Mam	206.321344022123	181.350845091713	212.634553734811	203.403668051171
L4_C_Mam	181.605766352806	172.8878056541	147.13952241565	177.347826276021
L5	42.9836133379423	37.4791746522874	37.682072813764	40.3445292002322
LOR1-int	51.5803360055308	70.1223267687957	78.0557222570825	63.0383268753628
LOR1a	40.8344326710452	43.5242028220111	28.7101507152487	45.3875953502612
LOR1b	42.9836133379423	36.2701690183426	39.476457233467	17.6507315251016
LTR06	8.59672266758846	1.20900563394475	2.69157662955457	0.840511025004838
LTR101_Mam	16.1188550017284	22.9711070449503	24.2241896659911	21.0127756251209
LTR102_Mam	9.67131300103702	15.7170732412818	8.0747298886637	9.24562127505321
LTR103_Mam	13.9696743348313	7.25403380366852	8.0747298886637	11.7671543500677
LTR103b_Mam	11.8204936679341	9.67204507155803	12.5606909379213	7.56459922504354
LTR104_Mam	47.2819746717365	36.2701690183426	34.9904961842094	36.141974075208
LTR105_Mam	15.0442646682798	35.0611633843979	25.1213818758426	16.8102205000968
LTR106_Mam	37.6106616706995	37.4791746522874	27.8129585053972	43.7065733002516
LTR107_Mam	13.9696743348313	13.2990619733923	22.4298052462881	21.0127756251209
LTR108e_Mam	2.14918066689712	0	0	0.840511025004838
LTR10A	102.086081677613	122.10956902842	97.793950873816	105.90438915061
LTR10B1	1.07459033344856	2.41801126788951	0.897192209851523	0.840511025004838
LTR10B2	2.14918066689712	1.20900563394475	1.79438441970305	3.36204410001935
LTR10B	1.07459033344856	1.20900563394475	0.897192209851523	2.52153307501451
LTR10C	46.207384338288	45.9422140899006	56.5231092206459	55.4737276503193
LTR10D	8.59672266758846	8.46303943761328	5.38315325910914	14.2886874250822
LTR10E	20.4172163355226	20.5530957770608	16.1494597773274	31.9394189501838
LTR10F	65.550010340362	58.0322704293482	40.3736494433185	51.2711725252951
LTR10G	10.7459033344856	22.9711070449503	17.0466519871789	8.40511025004838
LTR12	33.3123003369053	45.9422140899006	50.2427637516853	45.3875953502612
LTR12B	7.5221323341399	12.0900563394475	8.97192209851523	11.7671543500677
LTR12C	674.842729405694	801.570735305372	810.164565495925	690.059551528972
LTR12D	60.1770586731192	49.5692309917349	92.4107976147068	68.0813930253918
LTR12E	32.2377100034567	27.8071295807293	58.317493640349	54.6332166253144
LTR12F	21.4918066689712	20.5530957770608	23.3269974561396	21.0127756251209
LTR12_	25.7901680027654	47.1512197238454	35.8876883940609	26.8963528001548
LTR13	98.8623106772673	112.437523956862	136.373215897431	134.481764000774
LTR13A	45.1327940048394	56.8232647954034	53.8315325910914	54.6332166253144
LTR13_	2.14918066689712	2.41801126788951	7.17753767881218	3.36204410001935
LTR14	22.5663970024197	21.7621014110056	18.841036406882	8.40511025004838
LTR14A	9.67131300103702	3.62701690183426	3.58876883940609	8.40511025004838
LTR14B	24.7155776693168	24.1801126788951	21.5326130364365	13.4481764000774
LTR14C	0	3.62701690183426	2.69157662955457	0
LTR15	7.5221323341399	9.67204507155803	15.2522675674759	14.2886874250822
LTR16	54.8041070058764	45.9422140899006	54.7287248009429	64.7193489253725
LTR16A1	61.2516490065678	55.6142591614587	59.2146858502005	56.3142386753241
LTR16A2	44.0582036713909	16.9260788752266	31.4017273448033	35.3014630502032
LTR16A	82.7434556755389	84.6303943761328	99.588335293519	86.5726355754983
LTR16B1	23.6409873358683	25.3891183128398	26.0185740856942	28.5773748501645
LTR16B2	38.6852520041481	24.1801126788951	36.7848806039124	36.9824851002129
LTR16B	22.5663970024197	24.1801126788951	17.9438441970305	21.0127756251209
LTR16C	184.829537353152	141.453659171536	156.111444514165	176.507315251016
LTR16D1	3.22377100034567	4.83602253577901	5.38315325910914	9.24562127505321
LTR16D2	2.14918066689712	1.20900563394475	8.0747298886637	1.68102205000968
LTR16D	15.0442646682798	18.1350845091713	23.3269974561396	19.3317535751113
LTR16E1	74.1467330079505	47.1512197238454	55.6259170107944	52.1116835502999
LTR16E2	36.536071337251	39.8971859201769	60.111878060052	47.9091284252757
LTR17	66.6246006738106	70.1223267687957	71.7753767881218	58.8357717503386
LTR18A	8.59672266758846	12.0900563394475	9.86911430836675	10.9266433250629
LTR18B	19.342626002074	18.1350845091713	17.9438441970305	24.3748197251403
